OBJECTID,shortest_dist
563,1169.28
564,1128.93
565,1205.45
566,1377.24
567,1380.06
568,1378.55
569,1381.13
570,1379.53
571,1123.86
572,1123.55
573,1117.28
574,1117.57
575,1375.55
576,1377.69
577,1381.47
578,1382.72
579,1116.36
580,542.86
581,1370.28
582,1371.08
583,1265.89
584,1151.9
585,1184.31
586,525.97
587,1171.01
588,1145.99
589,1153.56
590,1279.64
591,1217.15
592,1206.15
593,1216.6
594,1191.02
595,1218.19
596,1308.14
597,1216.98
598,1146.03
599,1263.63
600,1202.65
601,1121.34
602,1210.21
603,1305.97
604,1320.1
605,1121.7
606,1131.58
607,1214.66
608,1151.3
609,1235.46
610,1221.12
611,1204.45
612,1144.53
613,1136.5
614,1210.38
615,1139.91
616,1312.97
617,1215.1
618,1196.58
619,1137.44
620,1161.11
621,1293.24
622,1221.32
623,1253.34
624,1197.07
625,1162.22
626,1148.12
627,1160.43
628,1169.25
629,1175.85
630,1256.69
631,1142.05
632,1122.95
633,1190.57
634,1290.79
635,1153.6
636,1292.05
637,1292.5
638,1149.26
639,1149.97
640,476.46
641,500.19
642,533.14
643,1128.05
644,1163.77
645,1213.69
646,1178.7
647,1259.78
648,1237.46
649,1153.94
650,1305.56
651,1119.36
652,483.01
653,475.91
654,484.83
655,490.68
656,479.94
657,490.97
658,490.53
659,489.3
660,514.15
661,514.96
662,515.5
663,517.32
664,523.32
665,530.01
666,535.8
667,1370.02
668,490.57
669,491.24
670,501.79
671,495.36
672,494.74
673,1146.25
674,1273.09
675,1303.47
676,1328.41
677,1204.91
678,1147.33
679,1186.07
680,1224.17
681,1245.96
682,1139.27
683,1221.56
684,1268.42
685,1243.4
686,1274.5
687,1213.4
688,1245.43
689,1299.01
690,1290.95
691,1272.14
692,1165.24
693,1187.25
694,1184.03
695,1189.36
696,1157.18
697,1274.69
698,1151.43
699,1290.17
700,1240.44
701,1323.53
702,1216.71
703,1253.62
704,1182.63
705,1313.03
706,1310.52
707,1207.61
708,1264.25
709,1384.18
710,1266.58
711,1064.36
712,1300.28
713,1202.18
714,1140.26
715,1190.4
716,1144.67
717,1190.52
718,1206.47
719,1148.24
720,1221.17
721,1202.28
722,1224.13
723,1210.33
724,1316.22
725,1252.1
726,1266.56
727,1297.78
728,1252.49
729,1209.41
730,1321.87
731,1259.52
732,1296.35
733,1259.22
734,615.21
735,1155.0
736,1160.75
737,1136.74
738,1132.31
739,1285.03
740,1157.85
741,1386.36
742,671.44
743,1287.89
744,1260.08
745,1216.03
746,1146.06
747,1297.82
748,477.13
749,531.74
750,529.86
751,539.35
752,539.69
753,525.01
754,539.12
755,542.28
756,532.34
757,1139.14
758,1405.2
759,1380.4
760,1376.11
761,1373.1
762,1385.18
763,1402.35
764,1398.44
765,469.03
766,487.03
767,491.0
768,490.18
769,515.8
770,516.08
771,529.46
772,532.44
773,538.04
774,537.53
775,536.23
776,528.28
777,531.17
778,538.54
779,543.4
780,546.84
781,1376.29
782,488.78
783,485.59
784,500.92
785,516.56
786,530.27
787,538.7
788,1079.25
789,1029.4
790,1168.93
791,1275.09
792,1357.5
793,1348.75
794,1319.04
795,1365.54
796,1255.47
797,1351.74
798,1339.7
799,1363.55
800,1333.79
801,1266.54
802,1317.02
803,1332.28
804,1119.94
805,1250.34
806,1322.14
807,1219.81
808,1318.85
809,1364.97
810,1319.8
811,1389.06
812,1316.86
813,1224.23
814,1316.48
815,1169.89
816,1157.66
817,1316.1
818,1350.75
819,1370.31
820,1272.71
821,1317.05
822,1322.46
823,1321.32
824,1345.51
825,1348.01
826,1358.8
827,1363.5
828,1159.17
829,1193.52
830,1004.74
831,1349.66
832,1321.45
833,1212.05
834,1381.72
835,1301.47
836,1155.17
837,1328.93
838,1232.21
839,1392.91
840,1245.52
841,1291.55
842,1131.81
843,1229.1
844,1343.14
845,1180.44
846,1014.36
847,1385.03
848,1230.24
849,1352.44
850,1388.59
851,1351.44
852,1378.61
853,1338.34
854,1325.59
855,1327.44
856,1202.94
857,1322.72
858,1350.18
859,1326.82
860,1227.4
861,1385.18
862,1338.06
863,1376.75
864,1355.45
865,1355.87
866,1115.63
867,1119.27
868,845.27
869,1260.09
870,1330.9
871,1375.74
872,1338.3
873,1390.67
874,1054.52
875,1273.7
876,1326.12
877,1378.66
878,1378.21
879,1383.01
880,1305.52
881,1371.36
882,1394.08
883,1268.77
884,1144.88
885,1321.5
886,1325.68
887,1343.25
888,1382.87
889,1324.45
890,1340.62
891,1398.96
892,1375.05
893,1387.46
894,1371.7
895,1374.49
896,1369.41
897,1346.49
898,1351.42
899,1248.45
900,1347.11
901,1169.41
902,1121.21
903,1336.72
904,668.04
905,1269.97
906,1362.06
907,1321.93
908,1381.09
909,1291.32
910,1315.7
911,1329.79
912,1058.6
913,1140.2
914,1143.46
915,1350.21
916,1315.71
917,1387.15
918,1205.73
919,1324.34
920,1330.28
921,1353.89
922,1271.75
923,1224.29
924,1149.67
925,1325.62
926,1047.54
927,1307.27
928,1352.26
929,1332.78
930,1241.27
931,1354.62
932,1289.03
933,1327.87
934,1189.86
935,1060.53
936,1326.99
937,1214.61
938,1339.64
939,1135.71
940,1218.75
941,1331.14
942,1297.65
943,1196.59
944,1143.8
945,1273.74
946,1186.95
947,1129.76
948,1267.55
949,1194.06
950,1129.63
951,1319.86
952,1274.07
953,1130.6
954,1257.46
955,1191.5
956,1147.24
957,1138.52
958,1144.92
959,1321.02
960,1338.82
961,1259.08
962,1357.31
963,1289.53
964,1227.16
965,1170.5
966,1294.39
967,1301.47
968,1146.79
969,1378.91
970,1212.26
971,1195.09
972,1199.21
973,1059.33
974,1123.56
975,1260.61
976,1256.12
977,1135.98
978,1193.05
979,1132.21
980,617.11
981,1152.09
982,1288.51
983,1268.8
984,1250.36
985,1050.45
986,1128.43
987,1124.92
988,1146.65
989,1289.16
990,1152.05
991,1122.4
992,1168.83
993,1133.63
994,872.54
995,1256.36
996,1125.94
997,1136.64
998,1136.94
999,1310.01
1000,1287.3
1001,1351.34
1002,1146.31
1003,531.95
1004,1271.27
1005,1281.89
1006,531.19
1007,1138.91
1008,1205.69
1009,1126.48
1010,1138.1
1011,1119.24
1012,1401.38
1013,1386.93
1014,1293.34
1015,1259.01
1016,1152.56
1017,1205.08
1018,839.77
1019,1169.49
1020,1377.55
1021,1173.53
1022,1235.77
1023,1383.42
1024,1370.26
1025,1156.07
1026,1366.84
1027,1397.57
1028,518.49
1029,522.39
1030,526.57
1031,530.44
1032,533.59
1033,536.81
1034,538.63
1035,1376.71
1036,1382.06
1037,1371.17
1038,1212.13
1039,1396.66
1040,500.49
1041,489.71
1042,495.3
1043,501.04
1044,496.53
1045,504.81
1046,516.24
1047,518.19
1048,529.32
1049,527.48
1050,531.59
1051,532.94
1052,533.89
1053,532.91
1054,535.74
1055,536.54
1056,1170.18
1057,1251.67
1058,1229.09
1059,1150.12
1060,1035.86
1061,1332.65
1062,1246.55
1063,1209.72
1064,1193.68
1065,1163.36
1066,1405.47
1067,1140.34
1068,1302.39
1069,1295.28
1070,1275.68
1071,1315.66
1072,1208.48
1073,1129.05
1074,991.98
1075,1159.55
1076,1262.26
1077,1316.78
1078,1205.71
1079,1242.81
1080,1232.62
1081,1190.3
1082,993.48
1083,1281.61
1084,1378.93
1085,1200.16
1086,1287.06
1087,1218.51
1088,1271.34
1089,1146.17
1090,1148.18
1091,1137.8
1092,1245.93
1093,1266.78
1094,1314.4
1095,1230.31
1096,1240.34
1097,1245.12
1098,1288.57
1099,1283.96
1100,1152.16
1101,1168.28
1102,1207.76
1103,1153.84
1104,1309.67
1105,1294.57
1106,1294.94
1107,1342.99
1108,1247.55
1109,1216.27
1110,1222.13
1111,1015.67
1112,1242.78
1113,1143.57
1114,1248.64
1115,1212.73
1116,1198.88
1117,1226.77
1118,1031.42
1119,1300.18
1120,1130.57
1121,1362.43
1122,1264.68
1123,1146.36
1124,1146.82
1125,1220.52
1126,1249.18
1127,1195.82
1128,1123.31
1129,1157.83
1130,1204.27
1131,1151.45
1132,1202.29
1133,1275.04
1134,1242.25
1135,1256.35
1136,1295.78
1137,1238.29
1138,1207.01
1139,1189.2
1140,1302.52
1141,1196.86
1142,1191.64
1143,1215.72
1144,1281.33
1145,1154.07
1146,1146.02
1147,1208.21
1148,1209.23
1149,1381.61
1150,1203.0
1151,1187.81
1152,538.69
1153,1284.26
1154,1187.67
1155,1383.07
1156,1182.57
1157,1385.0
1158,1208.87
1159,1384.75
1160,1349.66
1161,1293.59
1162,1246.82
1163,1192.78
1164,1127.98
1165,1189.3
1166,1258.85
1167,1314.01
1168,1198.61
1169,1276.56
1170,1283.99
1171,1227.91
1172,1253.95
1173,1152.36
1174,1139.86
1175,1123.48
1176,1205.15
1177,1131.83
1178,1270.46
1179,487.64
1180,1282.97
1181,1295.52
1182,1350.01
1183,1379.48
1184,974.84
1185,1382.18
1186,1335.8
1187,1284.8
1188,1249.98
1189,1360.42
1190,1298.79
1191,1345.4
1192,1343.86
1193,1384.77
1194,1377.1
1195,1249.17
1196,1348.24
1197,1164.27
1198,1297.32
1199,1370.42
1200,1153.12
1201,1382.19
1202,1295.27
1203,1166.48
1204,1233.87
1205,1377.81
1206,1386.08
1207,1379.44
1208,1212.01
1209,1384.56
1210,1240.93
1211,1205.69
1212,1384.79
1213,1257.85
1214,1237.81
1215,1378.82
1216,1379.28
1217,473.94
1218,493.65
1219,492.04
1220,487.75
1221,496.3
1222,530.6
1223,534.95
1224,537.9
1225,1382.43
1226,1377.82
1227,497.41
1228,502.23
1229,503.18
1230,502.02
1231,504.54
1232,528.72
1233,531.41
1234,535.65
1235,538.24
1236,799.61
1237,1192.98
1238,1338.02
1239,1329.94
1240,646.15
1241,1191.13
1242,1176.36
1243,1009.2
1244,1245.99
1245,1175.69
1246,1249.25
1247,619.93
1248,1198.56
1249,1278.62
1250,988.2
1251,1223.87
1252,524.51
1253,1233.32
1254,1320.81
1255,1247.36
1256,578.32
1257,1326.83
1258,1244.67
1259,1240.43
1260,1229.6
1261,1195.03
1262,1202.5
1263,691.22
1264,1271.0
1265,1221.45
1266,1213.74
1267,582.93
1268,1245.1
1269,1240.46
1270,1267.05
1271,1142.16
1272,1315.01
1273,1198.57
1274,1193.31
1275,1175.79
1276,1283.36
1277,1163.69
1278,1280.45
1279,1127.58
1280,1180.87
1281,514.64
1282,1274.7
1283,1158.59
1284,1207.69
1285,803.91
1286,1285.09
1287,1211.61
1288,1242.42
1289,1269.42
1290,1242.53
1291,1206.81
1292,1167.14
1293,677.46
1294,650.13
1295,1323.21
1296,1379.74
1297,1194.43
1298,545.33
1299,1182.93
1300,1198.53
1301,1174.51
1302,1154.3
1303,1240.65
1304,1235.84
1305,1373.47
1306,1198.14
1307,1131.64
1308,1142.31
1309,1194.11
1310,1125.73
1311,1121.04
1312,1287.02
1313,1242.82
1314,1288.04
1315,1172.87
1316,539.12
1317,1173.95
1318,1220.71
1319,1130.87
1320,1267.25
1321,1195.47
1322,1182.17
1323,1237.44
1324,1188.69
1325,1249.62
1326,1194.46
1327,1127.47
1328,1226.96
1329,539.48
1330,1199.59
1331,1193.81
1332,1279.12
1333,1217.61
1334,1374.18
1335,1266.78
1336,1196.99
1337,1240.71
1338,1191.55
1339,1358.38
1340,1143.3
1341,1167.49
1342,1360.14
1343,584.59
1344,1244.18
1345,1398.47
1346,1208.08
1347,478.41
1348,477.08
1349,491.07
1350,531.92
1351,526.78
1352,534.19
1353,538.0
1354,528.69
1355,552.21
1356,543.47
1357,1363.13
1358,531.58
1359,535.17
1360,538.37
1361,1281.57
1362,1193.84
1363,1306.38
1364,1193.05
1365,1325.74
1366,1358.03
1367,1233.48
1368,1121.28
1369,1378.82
1370,1238.83
1371,1298.53
1372,1236.04
1373,1379.8
1374,1142.53
1375,1246.09
1376,1367.92
1377,1397.57
1378,1361.31
1379,1357.04
1380,1367.97
1381,1242.11
1382,1238.62
1383,1240.27
1384,1243.33
1385,1238.3
1386,1184.99
1387,1399.29
1388,1247.07
1389,1377.74
1390,1245.94
1391,1376.71
1392,1373.7
1393,1381.03
1394,1243.08
1395,477.79
1396,477.57
1397,489.49
1398,476.34
1399,495.67
1400,501.46
1401,522.47
1402,531.44
1403,530.66
1404,534.84
1405,541.22
1406,536.54
1407,532.56
1408,535.78
1409,536.74
1410,1402.86
1411,1381.19
1412,1402.52
1413,519.17
1414,520.55
1415,544.73
1416,544.66
1417,1207.97
1418,1233.04
1419,1263.3
1420,1245.39
1421,1296.33
1422,1281.34
1423,1155.15
1424,1371.6
1425,1227.72
1426,1281.67
1427,1306.09
1428,1290.6
1429,1329.57
1430,1266.3
1431,1278.69
1432,1023.16
1433,1289.91
1434,1217.94
1435,1249.59
1436,1144.34
1437,1157.29
1438,1159.26
1439,1380.88
1440,1039.38
1441,1195.25
1442,1268.46
1443,1181.05
1444,1308.8
1445,1312.84
1446,1258.58
1447,1370.15
1448,1356.25
1449,1382.78
1450,1164.89
1451,1320.29
1452,1044.05
1453,1386.0
1454,1181.5
1455,1311.95
1456,1285.88
1457,1130.9
1458,1201.01
1459,1284.14
1460,1225.03
1461,1372.82
1462,1245.6
